,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
21,4.903659343719482,0.4051881865971478,0.003470182418823242,0.0010480131286504386,relu,0.001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.5415580425292266,-2.615653816736346,-2.6052708299219334,-2.3653399273318887,-3.051461597882922,-2.635856842880463,0.2263372016175556,39,-1.6829569289788369,-1.6225173797945127,-1.6305372857536131,-1.7046593176826739,-1.5976932133273067,-1.6476728251073887,0.039791489174359304
22,4.658876037597656,0.3707142246930657,0.0021901607513427736,0.0006570143554502051,relu,0.001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.6702094865042683,-2.677638720987593,-3.8891932592295637,-2.3877679558251943,-3.2489129294582004,-2.974744470400964,0.5360857660387697,63,-1.682260774096775,-1.6397982910997038,-1.6113626570045247,-1.6940700269456264,-1.5872887492022068,-1.6429560996697674,0.04065578009548022
23,4.4769970893859865,0.18841821201133663,0.0031505584716796874,0.0019976388321542287,relu,0.001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.5415580425292266,-2.615653816736346,-2.6052708299219334,-2.3653399273318887,-3.051461597882922,-2.635856842880463,0.2263372016175556,39,-1.6829569289788369,-1.6225173797945127,-1.6305372857536131,-1.7046593176826739,-1.5976932133273067,-1.6476728251073887,0.039791489174359304
24,2.6605175495147706,0.22382371812576915,0.0015358448028564454,0.001295482020591208,relu,0.001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2.4289324593292103,-2.6259757507633266,-2.6577206330579815,-2.304782756133609,-3.0033980043700312,-2.6041619207308315,0.23793573824225236,25,-1.6912012580166371,-1.616905598814949,-1.6349319938390183,-1.6627572470843717,-1.543196821771068,-1.629798583905209,0.05009792018320972
25,2.6375572204589846,0.13421920426745787,0.0012007713317871093,0.000980438987013011,relu,0.001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.4053957071268277,-2.541005102304911,-2.7226737686314895,-2.319370840981254,-2.981872128763413,-2.594063509561579,0.23698224418433358,15,-1.6202610751216981,-1.6203290683190668,-1.5555736716325712,-1.6696961158995627,-1.541809826625607,-1.6015339515197013,0.04696671299659409
26,2.595778465270996,0.2912311905160228,0.00299687385559082,0.002877161750033846,relu,0.001,"(50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.4289324593292103,-2.6259757507633266,-2.6577206330579815,-2.304782756133609,-3.0033980043700312,-2.6041619207308315,0.23793573824225236,25,-1.6912012580166371,-1.616905598814949,-1.6349319938390183,-1.6627572470843717,-1.543196821771068,-1.629798583905209,0.05009792018320972
27,2.879989433288574,0.24776024934838717,0.0024290561676025392,0.0005510106301702229,relu,0.001,"(50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.4053957071268277,-2.5622549388305855,-2.7226737686314895,-2.3237958427259136,-2.963694895909655,-2.595563030644894,0.22926345294378472,16,-1.6202610751216981,-1.5744431147624072,-1.5555736716325712,-1.6383629668701494,-1.520212788598787,-1.5817707233971228,0.0429267932724683
28,3.873312520980835,0.674246544403358,0.002936840057373047,0.0004328877052930016,relu,0.001,"(100, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2.564744649861729,-2.6370940402926144,-2.5410542342862117,-2.2199597702397704,-2.7254748029339835,-2.537665499522862,0.17137097974455615,3,-1.6414608016431402,-1.5663269442774468,-1.5960631671896282,-1.8092128282993083,-1.5229135371222728,-1.6271954557063595,0.0988764255379159
29,4.521548891067505,0.5868298394482359,0.004424953460693359,0.0015939453063433427,relu,0.001,"(100, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.651421129274702,-2.6318046518616005,-2.7020664988273633,-2.358797390787748,-2.883642102123027,-2.645546354574888,0.168720139468328,46,-1.5933910877265798,-1.5702578822787507,-1.59264364891032,-1.600849914979382,-1.5171975152078205,-1.5748680098205707,0.030598288777883186
30,4.121579599380493,0.8468763398089151,0.0030564308166503907,0.0007373992203027186,relu,0.001,"(100, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.564744649861729,-2.6370940402926144,-2.5410542342862117,-2.2199597702397704,-2.7254748029339835,-2.537665499522862,0.17137097974455615,3,-1.6414608016431402,-1.5663269442774468,-1.5960631671896282,-1.8092128282993083,-1.5229135371222728,-1.6271954557063595,0.0988764255379159
